EST,Max TemperatureF,Min TemperatureF, Events
1/1/14,14,9,Snow
1/2/14,13,-3,Snow
1/3/14,13,-11,Snow
1/4/14,31,13,Snow
1/5/14,29,16,Fog-Snow
1/6/14,16,-12,Fog-Snow
1/7/14,2,-13,Snow
1/8/14,17,-1,Snow
1/9/14,21,2,Snow
1/10/14,39,21,Fog-Rain-Snow
1/11/14,41,32,Fog-Rain
1/12/14,39,31,
1/13/14,44,34,Rain
1/14/14,37,26,Rain-Snow
1/15/14,27,18,Snow
1/16/14,28,16,Snow
1/17/14,30,15,Snow
1/18/14,21,13,Snow
1/19/14,29,11,
1/20/14,30,9,Rain-Snow
1/21/14,9,-5,
1/22/14,11,-3,Snow
1/23/14,13,-2,Snow
1/24/14,19,-1,Snow
1/25/14,25,3,Fog-Snow
1/26/14,25,2,Snow
1/27/14,15,-6,Snow
1/28/14,8,-9,Snow
1/29/14,19,-3,Snow
1/30/14,28,12,Fog-Snow
1/31/14,31,21,Rain
2/1/14,28,18,Fog-Snow
2/2/14,23,5,
2/3/14,22,-10,Fog
2/4/14,25,5,Snow
2/5/14,22,8,Fog-Snow
2/6/14,18,5,Snow
2/7/14,14,2,Snow
2/8/14,18,0,Snow
2/9/14,22,12,Snow
2/10/14,18,5,Snow
2/11/14,16,3,Snow
2/12/14,23,-3,
2/13/14,31,16,Snow
2/14/14,27,19,Snow
2/15/14,21,1,
2/16/14,23,4,Snow
2/17/14,20,2,Fog-Snow
2/18/14,42,16,Snow
2/19/14,44,30,Snow
2/20/14,43,29,Fog-Rain-Snow
2/21/14,45,29,Snow
2/22/14,33,23,
2/23/14,26,18,
2/24/14,22,14,Snow
2/25/14,22,9,Fog-Snow
2/26/14,14,1,Snow
2/27/14,12,-8,Fog-Snow
2/28/14,18,-11,
3/1/14,24,13,Snow
3/2/14,14,-1,Snow
3/3/14,13,-9,Snow
3/4/14,19,5,Snow
3/5/14,20,7,
3/6/14,29,0,
3/7/14,44,13,
3/8/14,39,20,Rain-Snow
3/9/14,36,12,
3/10/14,50,36,
3/11/14,47,35,Rain
3/12/14,35,7,Fog-Snow
3/13/14,25,-5,
3/14/14,49,22,
3/15/14,38,19,
3/16/14,22,8,
3/17/14,31,6,
3/18/14,45,22,
3/19/14,44,32,Rain
3/20/14,37,25,Snow
3/21/14,43,19,Rain
3/22/14,39,21,Rain-Snow
3/23/14,25,12,
3/24/14,30,11,Snow
3/25/14,29,14,Snow
3/26/14,32,9,
3/27/14,44,30,Rain-Snow
3/28/14,49,32,Rain
3/29/14,38,26,
3/30/14,49,23,
3/31/14,60,31,
4/1/14,54,34,Rain
4/2/14,51,28,
4/3/14,41,33,Rain
4/4/14,46,33,Fog-Rain-Snow
4/5/14,48,30,
4/6/14,55,26,
4/7/14,55,31,Rain
4/8/14,61,36,
