EST,Max TemperatureF,Min TemperatureF, Events
4/9/14,58,31,
4/10/14,67,41,
4/11/14,66,33,
4/12/14,72,39,Rain
4/13/14,72,50,Rain
4/14/14,64,27,Rain-Snow
4/15/14,34,24,Snow
4/16/14,46,21,
4/17/14,66,32,
4/18/14,61,38,Rain
4/19/14,60,30,
4/20/14,73,38,
4/21/14,78,56,Rain
4/22/14,57,35,Rain
4/23/14,56,31,
4/24/14,58,37,Rain
4/25/14,60,41,Rain
4/26/14,55,37,
4/27/14,57,33,
4/28/14,57,37,Rain
4/29/14,75,47,Rain
4/30/14,64,46,Rain
5/1/14,50,40,Rain
5/2/14,52,44,Rain
5/3/14,58,45,Rain
5/4/14,56,42,Rain
5/5/14,58,36,
5/6/14,63,37,
5/7/14,64,42,Rain-Thunderstorm
5/8/14,86,47,
5/9/14,76,56,
5/10/14,69,47,
5/11/14,82,40,
5/12/14,70,59,Rain-Thunderstorm
5/13/14,81,54,Rain
5/14/14,58,45,Rain
5/15/14,49,35,Rain
5/16/14,52,34,
5/17/14,56,37,
5/18/14,67,41,
5/19/14,70,47,Rain
5/20/14,80,53,Rain
5/21/14,82,59,Rain-Thunderstorm
5/22/14,70,53,
5/23/14,71,46,
5/24/14,77,46,
5/25/14,81,51,
5/26/14,85,56,
5/27/14,81,66,Rain-Thunderstorm
5/28/14,70,53,
5/29/14,75,47,
5/30/14,83,52,
5/31/14,85,56,
6/1/14,86,57,
6/2/14,82,69,Rain-Thunderstorm
6/3/14,73,59,
6/4/14,67,55,Rain
6/5/14,76,47,
6/6/14,79,50,
6/7/14,82,53,
6/8/14,78,59,Rain
6/9/14,81,56,
6/10/14,75,57,Rain
6/11/14,79,58,Fog-Rain-Thunderstorm
6/12/14,76,64,Fog
6/13/14,65,47,
6/14/14,75,45,
6/15/14,82,52,
6/16/14,86,66,
6/17/14,87,65,
6/18/14,78,64,Fog-Rain-Thunderstorm
6/19/14,78,61,
6/20/14,67,57,Rain
6/21/14,80,57,
6/22/14,82,63,
6/23/14,78,61,Rain-Thunderstorm
6/24/14,78,67,Rain
6/25/14,73,61,Fog
6/26/14,81,55,Fog
6/27/14,83,60,
6/28/14,84,67,Rain
6/29/14,85,71,
6/30/14,84,68,Rain
7/1/14,83,65,Rain
7/2/14,74,63,
7/3/14,73,50,Rain
7/4/14,75,51,Fog
7/5/14,78,53,
7/6/14,80,62,Rain
7/7/14,83,68,Rain
7/8/14,76,63,Fog-Rain-Thunderstorm
7/9/14,73,56,
7/10/14,75,53,
7/11/14,79,56,
7/12/14,83,62,Rain
7/13/14,80,67,Rain
7/14/14,77,59,Rain
7/15/14,68,54,Rain
7/16/14,70,51,Rain
7/17/14,75,50,
7/18/14,77,51,
7/19/14,79,58,
7/20/14,80,60,
7/21/14,84,63,
7/22/14,87,66,
7/23/14,78,59,Rain
7/24/14,74,54,
7/25/14,77,51,
7/26/14,79,60,
7/27/14,82,60,Fog-Rain-Thunderstorm
7/28/14,68,50,
7/29/14,75,49,Rain
7/30/14,74,53,Fog-Rain-Thunderstorm
7/31/14,79,51,
8/1/14,82,56,Rain
8/2/14,81,53,Rain
8/3/14,83,58,
8/4/14,83,63,Rain-Thunderstorm
8/5/14,78,63,Rain-Thunderstorm
8/6/14,77,59,Fog
8/7/14,81,55,
8/8/14,78,59,
8/9/14,79,52,
8/10/14,83,56,
8/11/14,79,61,Rain
8/12/14,73,58,Fog-Rain
8/13/14,77,53,
8/14/14,71,48,
8/15/14,75,45,
8/16/14,81,55,Rain
8/17/14,78,64,Rain
8/18/14,79,58,
8/19/14,79,63,Rain-Thunderstorm
8/20/14,81,64,Fog
8/21/14,79,60,Rain
8/22/14,82,69,Fog-Rain
8/23/14,80,64,
8/24/14,81,63,
8/25/14,85,67,
8/26/14,86,65,Rain-Thunderstorm
8/27/14,76,60,
8/28/14,74,54,Rain
8/29/14,78,61,Rain
8/30/14,83,69,Rain
8/31/14,83,65,Rain
9/1/14,81,65,Rain
9/2/14,79,61,Rain
9/3/14,81,56,Rain
9/4/14,79,63,Rain
9/5/14,89,67,Rain
9/6/14,73,55,Rain
9/7/14,76,49,
9/8/14,76,53,
9/9/14,77,59,
9/10/14,76,57,Rain
9/11/14,57,49,Rain
9/12/14,56,47,Rain
9/13/14,58,44,Rain
9/14/14,63,42,
9/15/14,64,46,Rain
9/16/14,65,44,Fog
9/17/14,67,40,
9/18/14,64,42,
9/19/14,69,40,
9/20/14,79,55,Rain-Thunderstorm
9/21/14,66,47,Rain
9/22/14,63,42,
9/23/14,73,45,
9/24/14,74,46,
9/25/14,76,50,Fog
9/26/14,76,45,Fog
9/27/14,77,48,Fog
9/28/14,77,49,
9/29/14,78,49,Rain
9/30/14,58,49,Rain
10/1/14,66,50,Fog
10/2/14,69,54,Fog-Rain
10/3/14,66,46,Rain
10/4/14,47,39,Rain
10/5/14,53,42,Rain
10/6/14,63,44,Rain-Thunderstorm
10/7/14,65,43,Rain
10/8/14,59,43,
10/9/14,59,37,
10/10/14,57,32,
10/11/14,58,31,
10/12/14,61,32,
10/13/14,70,50,Rain
10/14/14,70,57,Fog-Rain
10/15/14,63,51,
10/16/14,60,47,Fog-Rain
10/17/14,62,46,Rain
10/18/14,47,34,Rain
10/19/14,53,28,
10/20/14,59,46,Rain
10/21/14,48,35,Rain
10/22/14,48,35,
10/23/14,57,28,Fog
10/24/14,61,37,
10/25/14,67,43,
10/26/14,60,36,
10/27/14,74,32,
10/28/14,69,45,Rain
10/29/14,47,36,Rain
10/30/14,50,31,
10/31/14,44,32,Rain-Snow
11/1/14,40,23,
11/2/14,50,19,
11/3/14,57,39,
11/4/14,58,41,Rain
11/5/14,55,40,Rain
11/6/14,47,37,Rain
11/7/14,44,30,Rain
11/8/14,43,35,Rain
11/9/14,44,31,
11/10/14,57,38,
11/11/14,56,33,Rain-Snow
11/12/14,33,29,
11/13/14,35,23,Snow
11/14/14,33,21,Snow
11/15/14,33,26,Snow
11/16/14,32,25,Snow
11/17/14,30,16,Snow
11/18/14,21,13,Snow
11/19/14,27,15,Fog-Snow
11/20/14,25,13,Fog-Snow
11/21/14,26,6,Snow
11/22/14,49,21,Rain
11/23/14,51,48,Rain
11/24/14,54,31,Rain-Snow
11/25/14,31,28,Rain-Snow
11/26/14,31,28,Snow
11/27/14,31,20,Snow
11/28/14,28,16,Snow
11/29/14,50,28,Snow
11/30/14,57,33,
12/1/14,33,13,
12/2/14,35,12,Snow
12/3/14,37,24,
12/4/14,31,22,
12/5/14,38,28,
12/6/14,41,25,
12/7/14,36,18,
12/8/14,40,31,Rain-Snow
12/9/14,36,32,
12/10/14,32,21,
12/11/14,39,18,
12/12/14,33,27,Fog
12/13/14,43,33,Fog
12/14/14,49,43,
12/15/14,51,43,Rain
12/16/14,45,34,Fog-Rain-Snow
12/17/14,34,26,Snow
12/18/14,32,28,Rain-Snow
12/19/14,29,18,
12/20/14,30,17,
12/21/14,34,27,
12/22/14,39,27,Rain
12/23/14,51,35,Rain
12/24/14,43,33,Rain-Snow
12/25/14,37,33,Rain-Snow
12/26/14,47,34,
12/27/14,49,35,Rain
12/28/14,35,27,Snow
12/29/14,30,18,
12/30/14,22,13,
12/31/14,19,14,Snow
